Name
Memoirs of the Life, Public and Private Adventures of Madame Vestris. George Colman, John Duncombe, 1826.
Personal Reminiscences of Henry Irving. Bram Stoker, Macmillan 1906.
Breaking the Rules: The Wooster Group. David Savran, TCG, 1986.
Agit-Prop to Theatre Workshop. Howard Goorney and Ewan MacColl, eds., Manchester University Press, 1986.
Directing the Action: Acting and Directing in the Contemporary Theatre. Charles Marowitz, Applause, 1986. (Original Title:
Prospero’s Staff, Indiana University Press, 1986)
Subsequent Performances. Jonathan Miller, Viking, 1986.
On Acting. Laurence Olivier, Simon & Schuster, 1986.
Max Reinhardt: The Oxford Symposium. Margaret Jacobs and John Warren, editors, John Warren, 1986.
Between Theater and Anthropology. Richard Schechner, University of Pennsylvania Press, 1986.
Entrances: An American Director’s Journey. Alan Schneider, Viking, 1986.
Great Directors at Work: Stanislavsky, Brecht, Kazan, Brook. David Richard Jones, University of California Press, 1986.
The Way of Acting: The Theatre Writings of Tadashi Suzuki. Tadashi Suzuki, trans. J. Thomas Rimer, TCG, 1986.
Since Stanislavski and Vakhtangov: The Method as a System for Today’s Actor. Lawrence Parke, Actor’s World Books, 1986.
The Autobiography of Franco Zeffirelli. Franco Zeffirelli, Weidenfeld and Nicolson, 1986.
Creating Theater: The Professionals’ Approach to New Plays.
Great Directors at Work: Stanislavsky, Brecht, Kazan, Brook.  University of California Press, 1986.
The Selected Plays of Dion Boucicault. Dion Boucicault, ed. Andrew Perkin, Catholic University of America Press, 1987.
Bertolt Brecht: Chaos According to Plan. John Fuegi, Cambridge University Press, 1987.
The Shifting Point: Theatre, Film, Opera 1946-1987. Peter Brook, Harper and Row, 1987.
Ellen and Edy: A Biography of Ellen Terry and Her Daughter, Edith Craig. Joy Melville, Pandora Press, 1987.
Early Stages: 1921-1936. John Gielgud, Macmillan, 1939. Revised edition, Hodder & Stoughton, 1987.
Stage Directors in Modern France. David Whitton, Manchester University Press, 1987.
Antonin Artaud: Selected Writings. Antonin Artaud, ed. Susan Sontag, University of California Press (reprint), 1988.
The Magic Lantern: An Autobiography. Ingmar Bergman, Alfred A. Knopf, 1988.
Roger Blin and Twentieth-Century Playwrights. Odette Aslan, trans. Ruby Cohn. Cambridge University Press, 1988.
Revolutionaries in the Theater: Meyerhold, Brecht, and Witkiewicz. Christine Kiebuzinska, UMI Press, 1988.
Peter Brook: A Theatrical Casebook. David Williams, ed., Methuen, 1988.
The Meiningen Court Theater 1866-1890. John Osborne, Cambridge University Press, 1988.
Britain’s Royal National Theatre: The First 25 Years. Tim Goodwin, Nick Hern Books, 1988.
Wisecracks: The Farces of George S. Kaufman. Jeffrey Mason, UMI Research Press, 1988.
George S. Kaufman. Rhoda-Gale Pollack, Macmillan, 1988.
Elia Kazan: A Life. Elia Kazan, Alfred A. Knopf, 1988.
The Theatre of Meyerhold: Revolution and the Modern Stage, 2nd edition. Edward Braun, Methuen, 1988. (Revised and expanded as Meyerhold: A Revolution in Theatre, University of Iowa Press, 1995.)
Revolutionaries in the Theater: Meyerhold, Brecht, and Witkiewicz. Christine Kiebuzinska, UMI Press, 1988.
Staging O’Neill: The Experimental Years, 1920-1934. Ronald H. Wainscott, Yale University Press, 1988.
Laurence Olivier. Anthony Holden, Atheneum, 1988.
Joseph Papp and the New York Shakespeare Festival: An Annotated Bibliography. Brenda Coven and Christine E. King, Garland Publishing, 1988.
Shakespeare Alive! Joseph Papp and Elizabeth Kirkland, eds., Bantam (reissue), 1988.
The Bread and Puppet Theatre. 2 volumes. Stefan Brecht, Methuen, 1988.
Stanislavsky: A Biography. Jean Benedetti, Routledge, 1988.
A Dream of Passion: The Development of the Method. Lee Strasberg, Plume, 1988.
Listening Out Loud: Becoming a Composer. Elizabeth Swados, Harper and Row, 1988.
Filming Shakespeare’s Plays: The Adaptations of Laurence Olivier, Orson Welles, Peter Brook and Akira Kurosawa. Anthony Davies, Cambridge University Press, 1988.
The Director’s Voice: Twenty-One Interviews. Arthur Bartow, TCG, 1988.
The Reign of the Theatrical Director, French Theatre: 1887-1924. Bettina Knapp, Whitston, 1988.
Artaud on Theatre. C. Schumacher, ed., Methuen, 1989.
What They Did for Love: The Untold Story Behind the Making of “A Chorus Line”. Denny Martin Flinn, Bantam, 1989.
“A Chorus Line” and the Musicals of Michael Bennett. Ken Mandlebaum, St. Martin’s, 1989.
Joseph Chaikin and Sam Shepard: Letters and Texts, 1972-1984. Joseph Chaikin, ed. Barry Daniels, New American Library, 1989.
Nikolai Evreinov and the Russian Theatre of the Early Twentieth Century. Sharon Marie Carnicke, Peter Lang, 1989.
Razzle Dazzle: The Life and Work of Bob Fosse. Kevin Boyd Grubb, St. Martin’s, 1989.
Backward Glances. John Gielgud, Hodder & Stoughton, 1989.
Eva Le Gallienne: A Bio-Bibliography. Robert Schanke, Greenwood Press, 1989.
The Theater of Yury Lyubimov: Art and Politics at the Taganka Theater in Moscow. Alexander Gershkovich, trans. Michael Yurieff, Paragon House, 1989.
Vsevolod Meyerhold (Directors in Perspective). Robert Leach, Cambridge University Press, 1989.
Harold Prince and the American Musical Theatre (Directors in Perspective). Foster Hirsch, Cambridge University Press, 1989. (Updated edition: Applause, 2005.)
Harold Prince: From Pajama Game to Phantom of the Opera and Beyond. Carol Ilson, UMI Research Press, 1989.
Modernism to Realism on the Soviet Stage: Tairov-Vakhtangov-Okhlopkov. Nick Worrall, Cambridge University Press, 1989.
Modernism to Realism on the Soviet Stage: Tairov-Vakhtangov-Okhlopkov. Nick Worrall, Cambridge University Press, 1989.
The Theatre of Andrzej Wajda (Directors in Perspective). Maciej Karpinski, trans. Christina Paul, Cambridge University Press, 1989.
Citizen Welles: A Biography of Orson Welles. Frank Brady, Scribner’s, 1989.
Robert Wilson and His Collaborators. Lawrence Shyer, TCG, 1989.
The Director’s Vision: Play Direction from Analysis to Production. Louis E. Catron, McGraw-Hill, 1989.
A Better Direction
Alan Ayckbourn (Modern Dramatists). Michael Billington, Palgrave MacMillan, 1990.
One Singular Sensation: The Michael Bennett Story. Kevin Kelly, Doubleday, 1990.
On the Line: The Creation of “A Chorus Line”. Robert Viagas et al, William Morrow, 1990. (2nd edition, 2006)
The Mahabharata: Peter Brook’s Epic in the Making. Garry O’Connor and Gilles Abegg, Mercury House, 1990.
All His Jazz: The Life and Death of Bob Fosse. Martin Gottfried, Bantam Books, 1990.
A Sense of Direction: Life at The Royal Court Theatre. William Gaskill, Limelight, 1990.
Margo: The Life and Theatre of Margo Jones. Helen Sheehy, Southern Methodist University Press, 1990.
The Marowitz Shakespeare: Adaptations and Collages of Hamlet, Macbeth, The Taming of the Shrew, Measure for Measure and The Merchant of Venice. Charles Marowitz, Calder & Boyars, 1990.
Beyond the Fringe…and Beyond: A Critical Biography of Alan Bennett, Peter Cook, Jonathan Miller, Dudley Moore. Ronald Bergan, Virgin Books, 1990.
The Don Giovanni Book: Myth of Seduction and Betrayal. Jonathan Miller, ed., Faber & Faber, 1990.
Laurence Olivier. Donald Spoto, Harper Collins, 1990.
A Time to Speak. Anthony Quayle, Barrie & Jenkins, 1990.
By Means of Performance: Intercultural Studies of Theatre and Ritual. Richard Schechner and Willa Appel, editors, Cambridge University Press, 1990.
Orson Welles on Shakespeare: The W.P.A. and Mercury Theatre Playscripts. Richard France, editor, Praeger, 1990. [Paperback edition: Routledge, 2002.]
Orson Welles: A Bio-Bibliography. Bred Wood, Greenwood Press, 1990.
Directors in Perspective: André Antoine. Jean Chothia, Cambridge University Press, 1991.
Peter Brook and ‘The Mahabharata’: Critical Perspectives. David Williams, ed., Routledge, 1991.
Copeau: Texts on Theatre. Jacques Copeau, edited and trans. John Rudlin and Norman H. Paul, Routledge, 1991.
Cheek by Jowl: Ten Years of Celebration. Simon Reade, Absolute Classics, 1991.
Shakespeare: Hit or Miss? John Gielgud, Sidgwick & Jackson, 1991. (Revised as Acting Shakespeare, Pan, 1997.)
Peter Hall Directs ‘Antony and Cleopatra.’. Tirzah Lowen, Limelight, 1991.
A Profile of Jonathan Miller. Michael Romain, Cambridge University Press, 1991.
Quintero Directs O’Neill. Edwin J. McDonough, a cappela press, 1991.
Robert Wilson’s Vision. Trevor Fairbrother, Museum of Fine Arts, 1991.
Directing a Play. Michael McCaffery, Phaidon Press, 1988. (Reprint: Museum of Our National Heritage, 1991.)
Contemporary Stage Directing. George Black, Holt, Rinehart & Winston, 1991.
From Belasco to Brook: Representative Directors of the English-Speaking Stage. Samuel L. Leiter, Greenwood Press, 1991.
From Stanislavski to Barrault: Representative Directors of the European Stage. Samuel L. Leiter, Greenwood Press, 1991.
Theandric: Julian Beck’s Last Notebooks. Erica Bilder, editor, Routledge, 1992.
Ingmar Bergman: A Critical Biography. Peter Cowie, Limelight Editions, 1992 (updated edition).
Ingmar Bergman: A Life in the Theater. 2nd ed. Lise-Lone Marke, Frederick Marker, Cambridge University Press, 1992. (Revision of Ingmar Bergman: Four Decades in the Theater, 1982.)
Games for Actors and Non-Actors. Augusto Boal, trans. Adrian Jackson. London: Routledge, 1992. (2nd edition, 2002.)
Systems of Rehearsal: Stanislavsky, Brecht, Grotowski, and Peter Brook. Shomit Mitter, Routledge, 1992.
Systems of Rehearsal: Stanislavsky, Brecht, Grotowski, and Peter Brook. Shomit Mitter, Routledge, 1992.
Joseph Chaikin: A Bio-Bibliography. Alex Gildzen and Dimitris Karageorgious, Greenwood Press, 1992.
Noel Coward. Clive Fisher, St. Martins Press, 1992.
Unbalancing Acts: Foundations for a Theater. Richard Foreman, edited by Ken Jordan, Pantheon, 1992.
Systems of Rehearsal: Stanislavsky, Brecht, Grotowski, and Peter Brook. Shomit Mitter, Routledge, 1992.
Tennessee Williams and Elia Kazan: A Collaboration in the Theatre. Brenda Murphy, Cambridge University Press, 1992.
Shattered Applause: The Lives of Eva Le Gallienne. Robert A. Schanke, Southern Illinois University Press, 1992.
Joseph Papp: A Bio-Bibliography. Barbara Lee Horn, Greenwood Press, 1992.
Erwin Piscator and the American Theatre. Gerhard F. Probst, Peter Lang Pub., 1992.
Letters to George: The Account of a Rehearsal. Max Stafford-Clark, RH Canada, 1992.
Systems of Rehearsal: Stanislavsky, Brecht, Grotowski, and Peter Brook. Shomit Mitter, Routledge, 1992.
This is Orson Welles. Peter Bogdonavich, Harper Collins, 1992. (Revised edition, 1998)
Systems of Rehearsal: Stanislavsky, Brecht, Grotowski, and Peter Brook. Shomit Mitter, Routledge, 1992.
Antonin Artaud: Blows and Bombs. Stephen Barber, Faber and Faber, 1993.
Laughter in the Dark: The Plays of Alan Ayckbourn. Albert E. Kalson, Fairleigh Dickinson University Press, 1993.
Showstoppers: Busby Berkeley and the Tradition of Spectacle. Martin Rubin, Columbia University Press, 1993.
Playing Boal: Theatre, Therapy, Activism. Mady Schutzman and Jan Cohen-Cruz, Routledge, 1993.
Bertolt Brecht: Journals 1934-1955. Bertolt Brecht, Routledge, 1993.
There Are No Secrets: Thoughts on Acting. Peter Brook, Methuen, 1993.
The Honourable Beast: A Posthumous Autobiography. John Dexter, Nick Hern, 1993.
Plays: One. Harley Granville-Barker, Methuen, 1993.
Theatre to Change Men’s Souls: The Artistry of Adrian Hall. Jeannie Marlin Woods, University of Delaware Press, 1993.
Making an Exhibition of Myself: The Autobiography of Peter Hall. Peter Hall, Sinclair-Stevenson, 1993. (2nd edition, 2000)
A Journey Through Other Spaces: Essays and Manifestos, 1944-1990. Tadeusz Kantor, edited and trans. Michal Kobialka, University of California Press, 1993.
Reinventing Reality: The Art and Life of Rouben Mamoulian. Mark J. Spergel, Scarecrow Press, 1993.
Ariane Mnouchkine and the Théâtre du Soleil (Directors in Perspective). Adrian Kiernander, Cambridge University Press, 1993
My Father Laurence Olivier. Tarquin Olivier, Trafalgar Square, 1993..
The Future of Ritual: Writings on Culture and Performance. Richard Schechner, Routledge, 1993.
Giorgio Strehler (Directors in Perspective). David L. Hurst, Cambridge University Press, 1993.
Directing Plays: A Working Professional’s Method. Stuart Vaughan, Longman, 1993.
Antonin Artaud (Bloom’s Modern Critical Views). Harold Bloom, Chelsea House, 1994.
Images: My Life in Film. Ingmar Bergman (tr. Marianne Ruuth), Arcade, 1994.
Ingmar Bergman: Film and Stage, Robert Emmet Long, Abrams, 1994.
Brecht & Company: Sex, Politics, and the Making of the Modern Drama. John Fuegi, Grove Press, 1994.
The Collected Works of Harold Clurman: Six Decades of Commentary on Theatre, Dance, Music, Film, Arts and Letters. Harold Clurman, edited by Marjorie Loggia and Glenn Young, Applause, 1994.
John Gielgud: A Celebration. Gyles Brandreth, Trafalgar Square, 1994.
Notes from the Gods: Playgoing in the Twenties. John Gielgud, Nick Hern Books, 1994.
Joan’s Book: Joan Littlewood’s Peculiar History as She Tells It. Joan Littlewood, Methuen, 1994.
Joe Papp: An American Life. Helen Epstein, Little, Brown, 1994.
Margaret Webster: A Bio-Bibliography. Milly S. Barranger, Greenwood Press, 1994.
Theatrical Directors: A Biographical Dictionary. John W. Frick and Stephen M. Vallillo, eds., Greenwood Press, 1994.
The Revisionist Stage: American Directors Reinvent the Classics. Amy S. Green, Cambridge University Press, 1994.
The Great Stage Directors: 100 Distinguished Careers of the Theater. Samuel L. Leiter, Facts On File, 1994.
Watchfiends & Rack Screams: Works from the Final Period. Antonin Artaud, edited and translated by Clayton Eshleman (with Bernard Bador), Exact Change, 1995.
The Paper Canoe: Guide to Theatre Anthropology. Eugenio Barba, trans. Richard Fowler, Routledge, 1995.
Towards a Third Theatre: Eugenio Barba and the Odin Teatret, 2nd ed., Ian Watson, Cambridge University Press, 1995.
The Living Theatre: Art, Exile, and Outrage. John Tytell, Grove Press, 1995.
The Rainbow of Desire. Augusto Boal, trans. Adrian Jackson. London: Routledge, 1995.
Anne Bogart: Viewpoints. Michael Bigelow Dixon and Joel A. Smith, Smith & Kraus, 1995.
The Open Door: Thoughts on Acting and Theatre. Peter Brook, Pantheon, 1995.
Peter Brook (Directors in Perspective). Albert Hunt and Geoffrey Reeves, Cambridge University Press, 1995.
My Head Was a Sledgehammer: Six Plays. Richard Foreman, Overlook Press, 1995.
The Theatre of Images. Bonnie Marranca, ed., Johns Hopkins University Press, 1995.
At Work with Grotowski On Physical Actions. Thomas Richards, Jerzy Grotowski, Routledge, 1995.
Power Play: The Life and Times of Peter Hall. Stephen Fay, Hodder & Stoughton, 1995.
Connecting Flights. Robert Lepage, trans. Wanda Romer Taylor & Remy Charest, Methuen, 1995.
Julie Taymor: Playing with Fire: Theater, Opera, Film. Eileen Blumenthal and Julie Taymor, Abrams, 1995. (Updated and expanded edition, 1999; 3rd edition, 2007)
Orson Welles: The Road to Xanadu. Simon Callow, Viking, 1995.
Perspectives on Orson Welles. Beja Morris, ed., G.K. Hall, 1995.
James Whale: A Biography of the Would-Be Gentleman. Mark Gattis, Cassell, 1995.
Directing for the Stage: A Workshop Guide of 42 Creative Training Exercise and Projects. Terry John Converse, Meriwether, 1995
Between Stage and Screen: Ingmar Bergman Directs. Egil Tornqvist, Amsterdam University Press, 1996.
Bob Fosse’s Broadway. Margery Beddow, Heinemann, 1996.
Gielgud: An Actor and His Time. John Gielgud, with John Miller and John Powell, Clarkson N. Potter, 1980. Revised edition: Pan, 1996.
Grotowski’s Objective Drama Research. Lisa Wolford, University Press of Mississippi, 1996.
Eva La Gallienne: A Biography. Helen Sheehy, Alfred A. Knopf, 1996.
The Moscow Art Theatre. Nick Worrall, Routledge, 1996.
Rosebud: The Story of Orson Welles. David Thomson, Alfred A. Knopf, 1996.
Women Stage Directors Speak: Exploring the Influence of Gender on Their Work. Rebecca Daniels, Macfarland, 1996.
In Contact with the Gods? Directors Talk Theatre. Maria M. Delgado and Paul Heritage, Manchester University Press, 1996
Yury Lyubimov: Thirty Years at the Taganka Theatre, 1964-1994. Birgit Breumers, Harwood, 1997.
The Real Life of Laurence Olivier. Roger Lewis, Applause, 1997.
The Theatre of Robert Wilson (Directors in Perspective). Arthur Holmberg, Cambridge University Press, 1997.
Directing Plays. Don Taylor, Routledge / Theatre Arts Books, 1997.
In Other Words: Women Directors Speak. Helen Manfull, Smith and Kraus, 1997.
Legislative Theatre. Augusto Boal, trans. Adrian Jackson, Routledge, 1998.
Peter Brook: Oxford to Orghast. Richard Helfer and Glenn Loney, eds., Routledge, 1998.
Noel Coward: The Complete Illustrated Lyrics. Noel Coward, edited by Barry Day, Overlook, 1998.
Noel Coward: A Biography. Philip Hoare, University of Chicago Press (reprint ed.), 1998.
Edith Craig (1869-1947): Dramatic Lives. Katharine Cockin, Cassell, 1998.
Edward Gordon Craig. Christopher Innes, Cambridge University Press, 1983. (Revised as Edward Gordon Craig: A Vision of Theatre, Routledge, 1998.)
Goethe’s Weimar. Francis Warner, Colin Smythe, 1998.
Meyerhold Speaks/Meyerhold Rehearses. Aleksandr Gladkov, edited by Alma Law. Routledge, 1998.
Collaborative Theatre: The Théâtre du Soleil Sourcebook. David Williams, ed., Routledge, 1998.
The Theatre of Garcia Lorca: Text, Performance, Psychoanalysis. P.J. Smith, Cambridge University Press, 1998.
No Author Better Served: The Correspondence of Samuel Beckett and Alan Schneider. Alan Schneider and Samuel Beckett, edited by Maurice Harmon, Harvard University Press, 1998.
Bernard Shaw: The One-Volume Definitive Edition. Michael Holroyd, Random House, 1998.
Stanislavski in Focus. Sharon Marie Carnicke, Routledge, 1998.
The Lion King: Pride Rock on Broadway. Julie Taymor, Disney Editions, 1998.
James Whale: A New World of Gods and Monsters. James Curtis, Faber & Faber, 1998.
Robert Wilson. Franco Quadri, Franco Bertoni and Robert Stearns, Rizzoli, 1998.
The Director’s Companion. Mel Shapiro, Harcourt Brace, 1998.
Collected Works, Vols. 1-3. Antonin Artaud, trans. Victor Corti. Calder Publications, 1999 (reprint).
Land of Ashes and Diamonds: My Apprenticeship in Poland / 26 Letters from Jerzy Grotowski to Eugenio Barba. Eugenio Barba, Black Mountain Press, 1999.
Tantalus Plays. John Barton, TCG, 1999.
Threads of Time: Recollections. Peter Brook, Counterpoint, 1999.
Between Two Silences: Talking with Peter Brook. Dale Moffitt, ed., Southern Methodist University Press, 1999.
Jacques Copeau: Biography of a Theater. Maurice Kurtz, Southern Illinois University Press, 1999.
Richard Foreman (Art + Performance). Gerald Rabkin, ed., Johns Hopkins University Press, 1999.
Garrick. Ian MCintyre, Viking, 1999.
The Royal Court Theatre and the Modern Stage. Philip Roberts, Cambridge University Press, 1999.
Adrian Hall: The Man, the Muse, and the Moments at Trinity Rep. Trinity Repertory Company, 1999.
Exposed by the Mask: Form and Language in Drama. Peter Hall, Oberon, 1999.
The Necessary Theatre. Peter Hall, TCG 1999.
Kazan: The Master Director Discusses His Films. Jeff Young, Newmarket Press, 1999.
The Other Way: An Alternative Approach to Acting and Directing. Charles Marowitz, Applause, 1999.
The Royal Court Theatre and the Modern Stage. Philip Roberts, Cambridge University Press, 1999.
Stanislavski’s Legacy: A Collection of Comments on a Variety of Aspects of an Actor’s Art and Life. Constantin Stanislavski and Elizabeth Reynolds Hapgood, Routledge, 1999.
Orson Welles, Shakespeare and Popular Culture. Michael Anderegg, Columbia University Press, 1999.
On Directing: Interviews with Directors. Gabriella Giannachi and Mary Luckhurst, eds., St. Martin’s, 1999.
Taking Stage: Women Directors on Directing. Helen Manfull, Methuen, 1999.
Mainly About Lindsay Anderson. Gavin Lambert, Knopf, 2000.
The Secret Art of Antonin Artaud. Jacques Derrida and Paule Thévenin, The MIT Press, 2000.
100 Years of Cruelty: Essays on Artaud. Edward Scheer, ed., University of Illinois Press, 2000.
My Life with Noel Coward. Graham Payn and Barry Day, Applause, 2000.
Gielgud on Gielgud. John Gielgud, Hodder & Stoughton, 2000.
An Acrobat of the Heart. Stephen Wangh, Vintage, 2000.
Tips: Ideas for Actors. Jon Jory, Smith & Kraus, 2000.
The Dead Memory Machine: Tadeusz Kantor’s Throne of Death. Krzysztof Plesniarowicz, ed., Black Mountain Press, 2000.
Elia Kazan: Interviews (Conversations with Filmmakers). William Baer, ed., University Press of Mississippi, 2000.
American Avant-Garde Theatre: A History. Arnold Aronson, Routledge, 2000.
Theater Sans Frontiers: Essays on the Dramatic Universe of Robert Lepage. Joseph I. Donohoe, Jr. & Jane M. Koustas, eds., Michigan State University Press, 2000.
Recycling Shakespeare. Charles Marowitz, Applause, 2000.
Nekrosius and Lithuanian Theatre. Ludvika Popenhagen, Peter Lang, 2000.
Jerome Robbins: That Broadway Man. Christine Conrad, Booth-Clibborn, 2000.
Making Plays: Interviews with Contemporary British Dramatists and Directors. Duncan Wu, ed., Palgrave Macmillian, 2000.
An Event in Space: Joanne Akalaitis in Rehearsal. Deborah Saivetz, Smith & Kraus, 2001.
Playing Shakespeare: An Actor’s Guide. John Barton, 1984. (Anchor Press edition, 2001)
Pina Bausch and the Wuppertal Dance Theater: The Aesthetics of Repetition and Transformation. Peter Lang, 2001.
Julian Beck: Paintings and Drawings. Andres Nadelson, Ubu Gallery/Janos Gat Gallery, 2001.
Hamlet and the Baker’s Son: My Life in Theatre and Politics. Augusto Boal, Routledge, 2001.
A Director Prepares: Seven Essays on Art and Theatre. Anne Bogart, Routledge, 2001.
In Search of the Mahabharata: Notes of Travels in India with Peter Brook 1982-1985. Jean-Claude Carriere (tr. Aruna Vasudev), Macmillan India, 2001.
Paradise Hotel and Other Plays. Richard Foreman, Overlook, 2001.
David Garrick and the Birth of Modern Theatre. Jean Benedetti, Methuen, 2001.
John Gielgud: An Actor’s Life. Gyles Brandreth, Sutton, 2001.
Gielgud: A Theatrical Life 1904-2004. Jonathan Croall, Continuum, 2001.
The Grotowski Sourcebook (Worlds of Performance). Lisa Wolford, Richard Schechner, eds., Routledge, 2001.
Dazzler: The Life and Times of Moss Hart. Steven Bach, Knopf, 2001.
Original Story By: A Memoir of Broadway and Hollywood. Arthur Laurents, Applause, 2001.
Dance with Demons: The Life of Jerome Robbins. Greg Lawrence, Putnam, 2001.
Broadway, the Golden Years: Jerome Robbins and the Great Choreographer Directors, 1940 to the Present. Robert Long, Continuum, 2001.
Performing Shakespeare in Japan. Minami Ryuta, Ian Carruthers, and John Gillies, eds., Cambridge University Press, 2001
The Director’s Eye: A Comprehensive Textbook for Directors and Actors. John Ahart, Meriwether, 2001.
Directing for the Stage. Lloyd Anton Frerer, McGraw-Hill, 2001.
Thinking Like a Director: A Practical Handbook. Michael Bloom, Faber & Faber, Inc., 2001.
A Director Prepares: Seven Essays on Art and Theatre. Anne Bogart, Routledge, 2001.
Mis-Directing the Play: Terry McCabe, Ivan R. Dee, 2001.
Re: Direction: A Theoretical and Practical Guide. Rebecca Schneider and Gabrielle H. Cody, eds., Routledge, 2001.
The Emergence of the Playwright-Director in American Theatre, 1960-1983. Bonnie Milne Gardner, Edwin Mellen Press, 2001
Never Apologise: The Collected Writings. Lindsay Anderson, edited by Paul Ryan, Plexus, 2002.
Negotiating Cultures: Eugenio Barba and the Intercultural Debate. Ian Watson, Manchester University Press, 2002.
The Man Who: A Theatrical Research. Peter Brook and Marie Helene Estienne, Methuen, 2002.
The Actor and the Target. Declan Donnellan, TCG, 2002 (New edition, 2006).
John Gielgud: The Authorized Biography. Sheridan Morley, Simon & Schuster, 2002.
Tips: Ideas for Directors. Jon Jory, Smith & Kraus, 2002.
Encounters with Tadeusz Kantor. Krzysztof Miklaszewski, translated and edited by G.M. Hyde. Routledge, 2002.
Roar of the Canon: Kott & Marowitz on Shakespeare. Charles Marowitz and Jan Kott, Applause, 2002.
Performance Studies: An Introduction. Richard Schechner, Routledge, 2002.
Rocky Horror: From Concept to Cult. Scott Michaels and David Evans, Sanctuary, 2002.
The Art of Stillness: The Theatre Practice of Tadashi Suzuki. Paul Allain, Methuen, 2002. (2nd edition, 2011 w/DVD.)
Orson Welles: Interviews. Mark W. Estrin, ed., University Press of Mississippi, 2002.
Robert Wilson. Miguel Morey, Carmen Pardo, Ediciones Poligrafa S.A., 2002.
Tips: Ideas for Directors. Jon Jory, Smith & Kraus, 2002.
Antonin Artaud: A Critical Reader. Edward Scheer, Routledge, 2003.
Alan Ayckbourn: Grinning at the Edge. Paul M. Allen, Continuum, 2003.
The Crafty Art of Playmaking. Alan Ayckbourn, Palgrave Macmillan, 2003.
The Films of Ingmar Bergman. Jesse Kalin, Cambridge University Press, 2003.
Evoking Shakespeare. Peter Brook, Consortium Book Sales & Dist., 1999. (Revised as Evoking and Forgetting Shakespeare, TCG, 2003.)
Conversations with Peter Brook, 1970-2000. Margaret Croyden, Faber & Faber, 2003.
Hamlet in Pieces: Shakespeare Reworked: Peter Brook, Robert Lepage, Robert Wilson. Andy Lavender, Continuum, 2003.
The Open Circle: The Theater Environment of Peter Brook. Jean Guy Lecat and Andrew Todd, Palgrave Macmillan, 2003.
The Open Circle: The Theatre Environment of Peter Brook. Andrew Todd and Jean Guy Lecat, Palgrave Macmillan, 2003.
Michael Chekhov (Routledge Performance Practitioners). Franc Chamberlain, Routledge, 2003.
Shakespeare’s Advice to the Players. Peter Hall, TCG, 2003.
The Impact of Race: Theatre and Culture. Woodie King, Jr., Applause, 2003.
The Cinema of Robert Lepage. Aleksandar Dundjerovich, Wallflower Press, 2003.
Hamlet in Pieces: Shakespeare Reworked: Peter Brook, Robert Lepage, Robert Wilson. Andy Lavender, Continuum, 2003.
Joan Littlewood (Directors in Perspective). Richard Boon, Cambridge University Press, 2003.
Complicite Plays 1: The Street of Crocodiles, The Three Lives of Lucie Cabrol, Mnemonic. Theatre Complicite, Methuen, 2003.
Sam Mendes at the Donmar: Stepping into Freedom. Matt Wolf, Limelight, 2003.
Vsevelod Meyerhold (Routledge Performance Practictioners). Jonathan Pitches, Routledge, 2003.
‘Other’ Spanish Theatres: Erasure and Inscription on the Twentieth Century Spanish Stage. Maria M. Delgado, Manchester University Press, 2003.
Michel Saint-Denis and the Shaping of the Modern Actor. Jane Baldwin, Praeger, 2003.
Performance Theory. Richard Schechner, Routledge, 2003 (2nd revised edition).
Konstantin Stanislavsky. Bella Merlin, Routledge, 2003.
Encyclopedia of Orson Welles. Chuck Berg, Tom Erskine, eds., Checkmark Books, 2003.
Orson Welles: The Stories of His Life. Peter Conrad, Faber & Faber, 2003.
Hamlet in Pieces: Shakespeare Reworked: Peter Brook, Robert Lepage, Robert Wilson. Andy Lavender, Continuum, 2003.
Notes on Directing. Frank Hauser and Russell Reich, RcR Creative, 2003.
Directing for the Stage. Polly Irvin, Rotovision, 2003.
Fifty Key Theatre Directors. Shomit Mitter, ed., Routledge, 2003.
Stage Director’s Handbook 2003-2004: Opportunities for Directors and Choreographers. Stage Directors and Choreographers Foundation, TCG, 2003.
A Pocket Guide to Alan Ayckbourn’s Plays. Paul M. Allen, Faber & Faber, 2004.
Augusto Boal (Routledge Performance Practitioners). Frances Babbage, Routledge, 2004.
Bertolt Brecht’s Dramatic Theory. John J. White, Camden House, 2004.
Michael Chekhov: On Theatre and the Art of Acting. Michael Chekhov, Applause, 2004.
On Theatre and the Art of Acting: The Five-Hour Master Class. Michael Chekhov, Applause, 2004. (CDs & Booklet.)
The Other Chekhov: A Biography of Michael Chekhov, the Legendary Actor, Director and Theorist. Charles Marowitz, Applause, 2004
Dodin and the Maly Drama Theatre: Process to Performance. Maria Shevtsova, Routledge, 2004.
Sir John Gielgud: A Life in Letters. John Gielgud, ed. Richard Mangan, Arcade, 2004.
Tips II: More Ideas for Actors. Jon Jory, Smith & Kraus, 2004. (Omnibus edition The Complete TIPS for Actors, 2013.)
Kaufman and Co.: Broadway Comedies. George S. Kaufman et al, Library of America, 2004.
In Hollywood with Nemirovich-Danchenko 1926-1927: The Memoirs of Sergei Bertensson. Paul Fryer, editor, Anna Shoulgat, translator. Scarecrow, 2004.
Harold Prince: A Director’s Journey. Carol Ilson, Limelight, 200. (Updated edition, 2004.)
Jerome Robbins: His Life, His Theater, His Dance. Deborah Jowitt, Simon & Schuster, 2004.
